LISTINO METEL       BTI109918601552014  2014010120140616BTICINO LIST.2014RR Agg.Giu14                                        020                                                 
BTIBHAL10103       8005543457887Testaletto - Canale gas 1,2 metri LightTech00001000010000199999910000000888600000008886000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHAL10104       8005543457894Testaletto - Canale gas 1,6 metri LightTech00001000010000199999910000001184700000011847000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHBA10101       8005543457436Testaletto - Canale gas 3 metri bianco     00001000010000199999910000002285000000022850000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBH00106         8005543462522Testaletto - Ident AFNOR protossido d'azoto00010000100001099999910000000126900000001269000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHAL102         8005543462621Testaletto - Coppia testate canale gas TH  00001000010000199999910000000176400000001764000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBH00108         8005543462560Testaletto - Ident AFNOR aria              00010000100001099999910000000126900000001269000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBH00107         8005543462546Testaletto - Ident AFNOR ossigeno          00010000100001099999910000000126900000001269000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHBA102         8005543462676Testaletto - Coppia testate canale gas bian00001000010000199999910000000176400000001764000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBH00109         8005543462584Testaletto - Ident AFNOR vuoto             00010000100001099999910000000126900000001269000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHBA10102       8005543458099Testaletto - Canale gas 0,9 metri bianco   00001000010000199999910000000677000000006770000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHAL10102       8005543457849Testaletto - Canale gas 0,9 metri LightTech00001000010000199999910000000677000000006770000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHAL10101       8005543457795Testaletto - Canale gas 3 metri Light Tech 00001000010000199999910000002285000000022850000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHBA10103       8005543458105Testaletto - Canale gas 1,2 metri bianco   00001000010000199999910000000888600000008886000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBH00204         8005543462607Testaletto - Gancio flebo                  00010000100001099999910000000153300000001533000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHBA10104       8005543458112Testaletto - Canale gas 1,6 metri bianco   00001000010000199999910000001184700000011847000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHBA10105       8005543462720Testaletto - Canale gas 0,5 metri bianco   00002000020000299999910000000440900000004409000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHAL104         8005543463444Testaletto -  Kit instal valvola AFNOR Tech00004000040000499999910000000176400000001764000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHAL103         8005543462638Testaletto - Kit instal valvola UNI Tech   00004000040000499999910000000176400000001764000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHBA104         8005543462652Testaletto -  Kit instal valvola AFNOR wh  00004000040000499999910000000176400000001764000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHBA103         8005543462683Testaletto -  Kit instal valvola UNI bianco00004000040000499999910000000176400000001764000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBH00204AB       8005543470015Testaletto - Gancio flebo antib            00010000100001099999910000000200600000002006000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHAL21207TH     8005543463512Testaletto - L1200 1+1x24W/2x39W allum     00001000010000199999910000008614400000086144000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHAL31412TH     8005543463567Testaletto - L1600 1+1x24W/2x28W allum     00001000010000199999910000010812000000108120000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHBA21207AM     8005543464205Testaletto - L1200 1+1x24W/2x39W bianco    00001000010000199999910000008614400000086144000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHAL21210TH     8005543463543Testaletto - L1200 1+1x24W/2x39W allum     00001000010000199999910000008614400000086144000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHBA31412AM     8005543464250Testaletto - L1600 1+1x24W/2x28W bianco    00001000010000199999910000010812000000108120000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHBA21204AM     8005543464175Testaletto - L1200 1+1x24W/2x39W bianco    00001000010000199999910000008614400000086144000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHBA21210AM     8005543464236Testaletto - L1200 1+1x24W/2x39W bianco    00001000010000199999910000008614400000086144000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHBA31415AM     8005543464281Testaletto - L1600 1+1x24W/2x28W bianco    00001000010000199999910000010812000000108120000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHBA104AB       8005543470091Testaletto - Kit instal valvo AFNOR anti   00004000040000499999910000000229300000002293000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHAL21204TH     8005543463482Testaletto - L1200 1+1x24W/2x39W allum     00001000010000199999910000008614400000086144000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHBA11001AM     8005543457252Testaletto - L900 1+1x24W/2x24W bianco     00001000010000199999910000006944400000069444000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHAL31415TH     8005543463598Testaletto - L1600 1+1x24W/2x28W allum     00001000010000199999910000010812000000108120000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHAL10105       8005543462706Testaletto - Canale gas 0,5 metri LightTech00002000020000299999910000000440900000004409000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHAL21211TH     8005543463550Testaletto - L1200 1+1x24W/2x39W allum     00001000010000199999910000008614400000086144000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHBA21208AM     8005543464212Testaletto - L1200 1+1x24W/2x39W bianco    00001000010000199999910000008614400000086144000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHBA31416AM     8005543464298Testaletto - L1600 1+1x24W/2x28W bianco    00001000010000199999910000010812000000108120000001EURPCE0320140101CIV7              CIV.-104-42-102   
BTIBHAL21208TH     8005543463529Testaletto - L1200 1+1x24W/2x39W allum     00001000010000199999910000008614400000086144000001EURPCE0320140101CIV7              CIV.-104-42-102   
